ID,질문,대답
1961,기계요소설계에 대해 알려주세요,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다."
1092,메카 추천 부전공이 뭐뭐있어?,"스마트팩토리, 인공지능융합,지능형로봇융합"
1859,C프로그래밍1은 뭘 배우나요?,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다."
1981,동역학에 대해 알려주면 감사하겠습니다,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다."
36,이석원 교수님 연구실 좀 알려줘,공학관 B동 407호
1359,어떤 메카 EH이 있습니까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
824,20학번 전필 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계23"
1286,어떤 메카 연구실이 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1414,컴퓨터응용설계1에 대해 알려주라,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 4차원 구조물을 설계할 수 있는 능력을 갖게 한다."
1585,재료역학에 대해 알려주소,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다."
693,허헌 교수님 연구실 위치 좀 알려주오,공학관 B동 408호
1722,신호및시스템은 뭐 가르쳐?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
2101,스마트팩토리디바이스제어는 뭐 가르치세요?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출"
1799,센서는 뭘 배우지?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다."
1857,C프로그래밍1에 대해 알려주시면 감사하겠습니다,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다."
1074,메카 교양 기초교과 알려주세요,"글쓰기, 영어1.2, 글로벌잉글리쉬, 가치와비전, 창의와실천"
2054,서보전동기2는 뭐 배우디지털회로실험는이지 알려줘,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
1240,메카트로닉스 공학과 학생 회장 누굴까?,임현종
604,이승훈 교수님 연구실 좀 알려주오,공학관 B동 409호
836,21학번 전필 좀 알려줄래요?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계35"
874,16학번 졸업기준이 뭐요?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
555,김효영 교수님 연구실 위치가 어디노,공학관 B동 308호
1851,C프로그래밍1에 대해 알려줘,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다."
1939,계측공학에 대해 알려주면 감사하겠습니다,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다."
1767,시스템제어공학에 대해 알려줘,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등"
485,정명진 교수님 이메일 알려주겠소?,mjchung@kpu.ac.kr
1094,메카 부전공,"스마트팩토리, 인공지능융합,지능형로봇융합"
1236,메카 학생 회장 누구야?,임현종
1974,기계요소설계는 뭐 가르쳐?,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다."
1106,메카 관련 부전공 뭐있냐?,"스마트팩토리, 인공지능융합,지능형로봇융합"
1996,동역학은 뭐 가르치세요?,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다."
519,이석원 교수님 번호 좀요,031)8041-0462
1324,어떤 메카 랩실이 있습니까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
773, 18학번 전공필수 과목을 알려주시요,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
953,핵교 뭔가요?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
1323,어떤 메카 랩실이 있죠?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
269,B동 학과 행정실 운영시간 좀,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00"
1746,제어공학에 대해 알려줘,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다."
723,B동 학과 사무실 번호 뭐노,031-8041-0450
807,19학번 전공필수 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계6"
203,차동혁 교수님 이메일 알려줘,dhcha@kpu.ac.kr
1224,메카 학생부회장 누구야?,안태준
1709,신호및시스템에 대해 알려주세요,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
24,심재홍 교수님 이메일 뭐야,031)8041-0458
692,허헌 교수님 연구실 위치 좀요,공학관 B동 408호
